T_over_Tc, mu_over_kTc, z
2.338877755511022394e-01,-2.622418999455136766e-03,9.888503273976886332e-01
2.358517034068136620e-01,-2.648679067944784485e-03,9.888325509040252204e-01
2.378156312625250846e-01,-2.675041402560715629e-03,9.888146431126962899e-01
2.397795591182365071e-01,-2.701506954605341175e-03,9.887966033418867928e-01
2.417434869739479297e-01,-2.728076683691467441e-03,9.887784308982815462e-01
2.437074148296593523e-01,-2.754751557871754596e-03,9.887601250770094996e-01
2.456713426853707749e-01,-2.781532553769728178e-03,9.887416851615845603e-01
2.476352705410821975e-01,-2.808420656712473304e-03,9.887231104238426438e-01
2.495991983967936201e-01,-2.835416860864701898e-03,9.887044001238763924e-01
2.515631262525050427e-01,-2.862522169364732465e-03,9.886855535099655645e-01
2.535270541082164653e-01,-2.889737594462190272e-03,9.886665698185040929e-01
2.554909819639278878e-01,-2.917064157657216304e-03,9.886474482739248115e-01
2.574549098196393104e-01,-2.944502889841822072e-03,9.886281880886195195e-01
2.594188376753507330e-01,-2.972054831442819123e-03,9.886087884628568245e-01
2.613827655310621556e-01,-2.999721032566820666e-03,9.885892485846959898e-01
2.633466933867735782e-01,-3.027502553147052959e-03,9.885695676298980050e-01
2.653106212424850008e-01,-3.055400463092185909e-03,9.885497447618332156e-01
2.672745490981964234e-01,-3.083415842437267022e-03,9.885297791313853999e-01
2.692384769539078460e-01,-3.111549781496749604e-03,9.885096698768525147e-01
2.712024048096192685e-01,-3.139803381019325504e-03,9.884894161238453325e-01
2.731663326653306911e-01,-3.168177752345509995e-03,9.884690169851806374e-01
2.751302605210421137e-01,-3.196674017566826509e-03,9.884484715607734229e-01
2.770941883767535363e-01,-3.225293309687781232e-03,9.884277789375238710e-01
2.790581162324649589e-01,-3.254036772789768456e-03,9.884069381892024442e-01
2.810220440881763815e-01,-3.282905562197715489e-03,9.883859483763303144e-01
2.829859719438878041e-01,-3.311900844648745477e-03,9.883648085460579047e-01
2.849498997995992267e-01,-3.341023798463742429e-03,9.883435177320385456e-01
2.869138276553106492e-01,-3.370275613721120632e-03,9.883220749542999117e-01
2.888777555110220718e-01,-3.399657492433383506e-03,9.883004792191113497e-01
2.908416833667334944e-01,-3.429170648726254621e-03,9.882787295188479870e-01
2.928056112224449170e-01,-3.458816309020579932e-03,9.882568248318511772e-01
2.947695390781563396e-01,-3.488595712216868965e-03,9.882347641222858359e-01
2.967334669338677622e-01,-3.518510109882766381e-03,9.882125463399938914e-01
2.986973947895791848e-01,-3.548560766443399715e-03,9.881901704203441827e-01
3.006613226452906074e-01,-3.578748959374758974e-03,9.881676352840784716e-01
3.026252505010020299e-01,-3.609075979399756391e-03,9.881449398371549009e-01
3.045891783567134525e-01,-3.639543130687893525e-03,9.881220829705860131e-01
3.065531062124248751e-01,-3.670151731057471906e-03,9.880990635602749927e-01
3.085170340681362977e-01,-3.700903112181625713e-03,9.880758804668461348e-01
3.104809619238477203e-01,-3.731798619797177270e-03,9.880525325354729826e-01
3.124448897795591429e-01,-3.762839613916905621e-03,9.880290185957023574e-01
3.144088176352705655e-01,-3.794027469045543888e-03,9.880053374612735029e-01
3.163727454909819881e-01,-3.825363574398958112e-03,9.879814879299342323e-01
3.183366733466934106e-01,-3.856849334126887050e-03,9.879574687832530788e-01
